epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,792.09,0.53659,1.52922,1.01878,0.39545,0.09688,0.09303,0.07224,1.62153,3.52425,1.82633,0.0003334,0.0003334,0.0003334
2,4478.23,0.76549,1.09918,1.14002,0.37924,0.0642,0.06257,0.04691,0.72668,3.16389,1.11072,0.000615806,0.000615806,0.000615806
3,5914.26,0.57245,0.66202,0.9855,0.8559,0.44144,0.46539,0.36778,1.40461,2.8409,1.7535,0.000828899,0.000828899,0.000828899
4,6887.23,0.73634,0.81281,1.08573,0.5518,0.27807,0.28525,0.21805,1.005,4.20694,1.50392,0.000972678,0.000972678,0.000972678
5,7550.12,0.62169,0.63933,1.00855,0.75284,0.28702,0.30191,0.25252,0.73546,1.49095,1.24966,0.00100687,0.00100687,0.00100687
6,8318.71,0.59088,0.60709,1.00469,0.88512,0.25114,0.26185,0.22367,0.54434,0.8729,0.99843,0.000841835,0.000841835,0.000841835
7,9150.87,0.69708,0.78179,1.08786,0.89384,0.47919,0.4908,0.42991,0.46625,0.65416,0.9304,0.000676802,0.000676802,0.000676802
